Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2/11/19,258.8900146,259.8999939,256.1900024,258.3900146,258.3900146,3538100,ADBE
2/12/19,260.1499939,262.25,258.6700134,261.3699951,261.3699951,2518400,ADBE
2/13/19,263.1300049,263.3599854,259.3699951,260.230011,260.230011,1899700,ADBE
2/14/19,259.3999939,261.7099915,258.0100098,260.1400146,260.1400146,1885000,ADBE
2/15/19,260.3399963,260.9700012,258.0700073,259.4500122,259.4500122,2999200,ADBE
2/19/19,258.980011,260.0599976,256.4500122,257.8099976,257.8099976,3475600,ADBE
2/20/19,258.1300049,260.9899902,255.9199982,258.1000061,258.1000061,2484800,ADBE
2/21/19,257.2999878,259.3500061,255.1199951,257.7600098,257.7600098,2607400,ADBE
2/22/19,257.6099854,260.2399902,257.6099854,258.8999939,258.8999939,2006000,ADBE
2/25/19,261.5,262.980011,258.1799927,258.6199951,258.6199951,1815800,ADBE
2/26/19,258,262.5799866,256.3699951,261.2200012,261.2200012,2538900,ADBE
2/27/19,259.769989,263.0799866,256.519989,262.8999939,262.8999939,2266800,ADBE
2/28/19,262.3999939,266.2399902,261.7600098,262.5,262.5,3810300,ADBE
3/1/19,265.75,266.2399902,261.5,264.0100098,264.0100098,2594000,ADBE
3/4/19,266.7000122,267,254.0800018,258.1600037,258.1600037,2994900,ADBE
3/5/19,259,259.8699951,256.3699951,257.3800049,257.3800049,2101800,ADBE
3/6/19,257.3999939,259.4899902,253.8399963,256.3999939,256.3999939,1950500,ADBE
3/7/19,255.7700043,257.4899902,253.2899933,255.4600067,255.4600067,3185200,ADBE
3/8/19,251.4900055,255.0200043,249.1000061,254.7400055,254.7400055,2195400,ADBE
3/11/19,255.9799957,261.4599915,255.7700043,260.9599915,260.9599915,2711700,ADBE
3/12/19,261.8599854,264.75,259.0100098,263.5100098,263.5100098,2583500,ADBE
3/13/19,265.5,269.7999878,264.1300049,264.3800049,264.3800049,3992500,ADBE
3/14/19,265.2600098,268,263.519989,267.6900024,267.6900024,5113400,ADBE
3/15/19,258.0299988,260,252.0299988,257.0899963,257.0899963,12110500,ADBE
3/18/19,257.1099854,259.9599915,253.8899994,257.7600098,257.7600098,4013400,ADBE
3/19/19,259.4299927,260.6400146,256.3399963,260.4200134,260.4200134,4257300,ADBE
3/20/19,260.5400085,262.2999878,256.1700134,259.7399902,259.7399902,3732600,ADBE
3/21/19,259,264.3399963,258.3999939,264.1799927,264.1799927,2359900,ADBE
3/22/19,263.4700012,264.6400146,259.519989,259.6900024,259.6900024,3454000,ADBE
3/25/19,259.2099915,263.1199951,257.1000061,262.269989,262.269989,2639300,ADBE
3/26/19,265.0499878,267.7399902,263.8399963,265.5899963,265.5899963,3150100,ADBE
3/27/19,265.5299988,265.9700012,259.0400085,262.3399963,262.3399963,2521900,ADBE
3/28/19,263.5,265.1700134,260.8800049,263.5299988,263.5299988,2018000,ADBE
3/29/19,265.4700012,266.75,264.2000122,266.4899902,266.4899902,2097400,ADBE
4/1/19,269.8500061,272.3900146,268.1900024,272.1700134,272.1700134,2970100,ADBE
